No,Tanggal,Hari,Bulan,Kuartal,Tahun,Supervisor_ID,Jenis_Insiden,Near_Miss,First_Aid,Medical_Treatment,LTI,Fatality,Hari_Hilang_Kerja,Property_Damage,Jumlah_Tenaga_Kerja,Jam_Kerja,Tindakan_Korektif,Status_Tindakan,Lokasi_Spesifik,Catatan,Insiden_Tercatat,TRIR,LTIR,Severity_Rate,Hari_dalam_Minggu,day_sin,day_cos,month_sin,month_cos,jam_per_pekerja,is_musim_hujan,is_cuaca_buruk,night_shift_bin,night_cuaca_buruk,Area_Kerja_Hauling Road,Area_Kerja_Office Area,Area_Kerja_Pit-A,Area_Kerja_Pit-B,Area_Kerja_Pit-C,Area_Kerja_ROM,Area_Kerja_Stockpile,Area_Kerja_Unknown,Area_Kerja_Workshop,Jenis_Pekerjaan_Blasting,Jenis_Pekerjaan_Dozing,Jenis_Pekerjaan_Drilling,Jenis_Pekerjaan_Fueling,Jenis_Pekerjaan_Grading,Jenis_Pekerjaan_Hauling,Jenis_Pekerjaan_Loading,Jenis_Pekerjaan_Maintenance,Jenis_Pekerjaan_Pengawasan,Jenis_Pekerjaan_Pumping,Jenis_Pekerjaan_Survei,Penyebab_Utama_Desain/Engineering,Penyebab_Utama_Faktor Eksternal,Penyebab_Utama_Housekeeping Buruk,Penyebab_Utama_Human Error,Penyebab_Utama_Kelelahan Pekerja,Penyebab_Utama_Komunikasi Buruk,Penyebab_Utama_Kondisi Cuaca Buruk,Penyebab_Utama_Peralatan Rusak,Penyebab_Utama_Prosedur Tidak Diikuti,Shift_Shift 2,Kondisi_Cuaca_Berkabut,Kondisi_Cuaca_Cerah,Kondisi_Cuaca_Hujan Lebat,Kondisi_Cuaca_Hujan Ringan
13,2024-07-31,Wednesday,7.0,Q3,2024,SPV-009,Property Damage,0,0,0,0,0,0,1,38,400.3,Investigasi Lanjut,Overdue,Pit-A-Blok05,,0,0.0,0.0,0.0,2.0,0.9749279121818236,-0.22252093395631434,-0.4999999999999997,-0.8660254037844388,10.534210526315789,0,1,1,1,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False
14,2023-03-08,Wednesday,3.0,Q1,2023,SPV-015,Near Miss,1,0,0,0,0,0,0,12,146.2,Perbaikan Desain,Selesai,Pit-C-Blok01,Perlu tindak lanjut,0,0.0,0.0,0.0,2.0,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17,12.183333333333332,1,0,1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
15,2024-09-17,Tuesday,9.0,Q3,2024,SPV-011,Lost Time Injury,0,0,0,1,0,11,0,38,400.3,Penggantian APD,Overdue,ROM (R-Blok05,Sudah dilaporkan ke HSE Manager,1,2498.126405196103,2498.126405196103,27479.390457157133,1.0,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16,10.534210526315789,0,1,1,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False
16,2023-04-02,Sunday,4.0,Q2,2023,SPV-003,Medical Treatment,0,0,1,0,0,0,0,20,226.9,Briefing Safety,Selesai,Office-Blok02,Menunggu spare part,1,4407.227853680035,0.0,0.0,6.0,-0.7818314824680299,0.6234898018587334,0.8660254037844387,-0.4999999999999998,11.345,1,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
17,2022-12-29,Thursday,12.0,Q4,2022,SPV-003,Lost Time Injury,0,0,0,1,0,14,0,16,173.3,Pelatihan Ulang,Selesai,Pit-C-Blok02,,1,5770.3404500865545,5770.3404500865545,80784.76630121177,3.0,0.43388373911755823,-0.900968867902419,-2.4492935982947064e-16,1.0,10.83125,1,0,1,0,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True
18,2024-12-26,Thursday,12.0,Q4,2024,SPV-012,Near Miss,1,0,0,0,0,0,0,13,165.9,Investigasi Lanjut,Belum Dimulai,Pit-A-Blok02,Investigasi selesai,0,0.0,0.0,0.0,3.0,0.43388373911755823,-0.900968867902419,-2.4492935982947064e-16,1.0,12.761538461538462,1,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
19,2023-01-23,Monday,1.0,Q1,2023,SPV-010,Near Miss,1,0,0,0,0,0,0,30,316.7,Investigasi Lanjut,Selesai,Pit-C-Blok01,Perlu tindak lanjut,0,0.0,0.0,0.0,0.0,0.0,1.0,0.49999999999999994,0.8660254037844387,10.556666666666667,1,0,0,0,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
20,2022-12-24,Saturday,12.0,Q4,2022,SPV-019,Near Miss,1,0,0,0,0,0,0,40,447.8,Perbaikan Alat,Selesai,Pit-A-Blok05,,0,0.0,0.0,0.0,5.0,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0,11.195,1,0,0,0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
21,2024-08-26,Monday,8.0,Q3,2024,SPV-017,First Aid,0,1,0,0,0,0,0,29,365.5,Perbaikan Alat,Dalam Proses,ROM (R-Blok04,,1,2735.9781121751025,0.0,0.0,0.0,0.0,1.0,-0.8660254037844385,-0.5000000000000004,12.60344827586207,0,0,1,0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False
22,2022-07-17,Sunday,7.0,Q3,2022,SPV-012,Near Miss,1,0,0,0,0,0,0,9,113.1,Briefing Safety,Selesai,Draina-Blok05,Investigasi selesai,0,0.0,0.0,0.0,6.0,-0.7818314824680299,0.6234898018587334,-0.4999999999999997,-0.8660254037844388,12.566666666666666,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
23,2024-01-29,Monday,1.0,Q1,2024,SPV-006,Near Miss,1,0,0,0,0,0,0,35,358.6,Investigasi Lanjut,Selesai,Pit-A-Blok05,,0,0.0,0.0,0.0,0.0,0.0,1.0,0.49999999999999994,0.8660254037844387,10.245714285714286,1,1,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
24,2023-05-27,Saturday,5.0,Q2,2023,SPV-016,Near Miss,1,0,0,0,0,0,0,25,260.0,Perbaikan Desain,Selesai,Pit-C-Blok04,Menunggu spare part,0,0.0,0.0,0.0,5.0,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,-0.8660254037844387,10.4,0,1,1,1,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
25,2023-10-05,Thursday,10.0,Q4,2023,SPV-005,First Aid,0,1,0,0,0,0,0,33,367.9,Penggantian APD,Selesai,Pit-C-Blok02,,1,2718.129926610492,0.0,0.0,3.0,0.43388373911755823,-0.900968867902419,-0.8660254037844386,0.5000000000000001,11.148484848484848,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
26,2023-11-27,Monday,11.0,Q4,2023,SPV-008,Near Miss,1,0,0,0,0,0,0,8,103.5,Perbaikan Alat,Selesai,Worksh-Blok03,Investigasi selesai,0,0.0,0.0,0.0,0.0,0.0,1.0,-0.5000000000000004,0.8660254037844384,12.9375,1,0,1,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
27,2022-04-08,Friday,4.0,Q2,2022,SPV-005,Near Miss,1,0,0,0,0,0,0,9,92.8,Revisi Prosedur,Belum Dimulai,Worksh-Blok04,,0,0.0,0.0,0.0,4.0,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,10.31111111111111,1,0,1,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True
28,2024-06-28,Friday,6.0,Q2,2024,SPV-019,First Aid,0,1,0,0,0,0,0,36,385.1,Penggantian APD,Overdue,Pit-A-Blok02,Menunggu spare part,1,2596.7281225655674,0.0,0.0,4.0,-0.433883739117558,-0.9009688679024191,1.2246467991473532e-16,-1.0,10.697222222222223,0,0,1,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
29,2022-06-03,Friday,6.0,Q2,2022,SPV-011,Near Miss,1,0,0,0,0,0,0,11,116.1,Pelatihan Ulang,Selesai,Office-Blok03,,0,0.0,0.0,0.0,4.0,-0.433883739117558,-0.9009688679024191,1.2246467991473532e-16,-1.0,10.554545454545455,0,0,1,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True
30,2023-03-10,Friday,3.0,Q1,2023,SPV-019,First Aid,0,1,0,0,0,0,0,14,164.7,Perbaikan Alat,Selesai,Pit-B-Blok04,,1,6071.645415907711,0.0,0.0,4.0,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17,11.764285714285714,1,1,1,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False
31,2024-11-11,Monday,11.0,Q4,2024,SPV-015,Near Miss,1,0,0,0,0,0,0,27,324.7,Penggantian APD,Selesai,Pit-B-Blok02,,0,0.0,0.0,0.0,0.0,0.0,1.0,-0.5000000000000004,0.8660254037844384,12.025925925925925,1,1,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
32,2024-04-22,Monday,4.0,Q2,2024,SPV-011,First Aid,0,1,0,0,0,0,0,29,309.0,Perbaikan Alat,Selesai,Draina-Blok01,,1,3236.2459546925566,0.0,0.0,0.0,0.0,1.0,0.8660254037844387,-0.4999999999999998,10.655172413793103,1,0,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True
33,2022-12-28,Wednesday,12.0,Q4,2022,SPV-002,First Aid,0,1,0,0,0,0,0,28,351.8,Investigasi Lanjut,Dalam Proses,Pit-C-Blok01,Sudah dilaporkan ke HSE Manager,1,2842.5241614553725,0.0,0.0,2.0,0.9749279121818236,-0.22252093395631434,-2.4492935982947064e-16,1.0,12.564285714285715,1,1,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
34,2024-12-09,Monday,12.0,Q4,2024,SPV-017,Near Miss,1,0,0,0,0,0,0,13,156.8,Investigasi Lanjut,Dalam Proses,Stockp-Blok04,Perlu tindak lanjut,0,0.0,0.0,0.0,0.0,0.0,1.0,-2.4492935982947064e-16,1.0,12.061538461538463,1,0,1,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False
35,2024-03-16,Saturday,3.0,Q1,2024,SPV-009,Near Miss,1,0,0,0,0,0,0,28,292.7,Perbaikan Alat,Selesai,Pit-B-Blok05,,0,0.0,0.0,0.0,5.0,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17,10.453571428571427,1,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
36,2024-10-23,Wednesday,10.0,Q4,2024,SPV-006,Lost Time Injury,0,0,0,1,0,10,0,14,156.2,Penggantian APD,Selesai,Pit-A-Blok03,,1,6402.048655569783,6402.048655569783,64020.486555697826,2.0,0.9749279121818236,-0.22252093395631434,-0.8660254037844386,0.5000000000000001,11.157142857142857,0,1,1,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
37,2024-01-22,Monday,1.0,Q1,2024,SPV-018,Near Miss,1,0,0,0,0,0,0,41,525.2,Perbaikan Desain,Selesai,Pit-A-Blok05,Sudah dilaporkan ke HSE Manager,0,0.0,0.0,0.0,0.0,0.0,1.0,0.49999999999999994,0.8660254037844387,12.809756097560976,1,0,1,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False
38,2022-07-28,Thursday,7.0,Q3,2022,SPV-003,Near Miss,1,0,0,0,0,0,0,19,196.3,Briefing Safety,Selesai,Pit-C-Blok04,,0,0.0,0.0,0.0,3.0,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,10.331578947368422,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
39,2023-03-16,Thursday,3.0,Q1,2023,SPV-015,Near Miss,1,0,0,0,0,0,0,19,238.1,Revisi Prosedur,Selesai,ROM (R-Blok04,Sudah dilaporkan ke HSE Manager,0,0.0,0.0,0.0,3.0,0.43388373911755823,-0.900968867902419,1.0,6.123233995736766e-17,12.531578947368422,1,0,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
40,2022-05-28,Saturday,5.0,Q2,2022,SPV-007,Near Miss,1,0,0,0,0,0,0,35,352.9,Perbaikan Desain,Selesai,Office-Blok03,,0,0.0,0.0,0.0,5.0,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,-0.8660254037844387,10.082857142857142,0,0,1,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False
41,2022-05-15,Sunday,5.0,Q2,2022,SPV-003,First Aid,0,1,0,0,0,0,0,15,178.3,Briefing Safety,Dalam Proses,ROM (R-Blok01,Sudah dilaporkan ke HSE Manager,1,5608.5249579360625,0.0,0.0,6.0,-0.7818314824680299,0.6234898018587334,0.49999999999999994,-0.8660254037844387,11.886666666666667,0,0,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
42,2024-04-08,Monday,4.0,Q2,2024,SPV-001,Near Miss,1,0,0,0,0,0,0,16,208.7,Pelatihan Ulang,Selesai,ROM (R-Blok04,,0,0.0,0.0,0.0,0.0,0.0,1.0,0.8660254037844387,-0.4999999999999998,13.04375,1,0,1,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
43,2022-07-02,Saturday,7.0,Q3,2022,SPV-004,Lost Time Injury,0,0,0,1,0,6,0,22,250.8,Perbaikan Desain,Belum Dimulai,Pit-B-Blok01,,1,3987.240829346092,3987.240829346092,23923.444976076553,5.0,-0.9749279121818236,-0.2225209339563146,-0.4999999999999997,-0.8660254037844388,11.4,0,0,1,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
44,2024-09-13,Friday,9.0,Q3,2024,SPV-020,Near Miss,1,0,0,0,0,0,0,23,236.9,Briefing Safety,Dalam Proses,Draina-Blok01,Sudah dilaporkan ke HSE Manager,0,0.0,0.0,0.0,4.0,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210297e-16,10.3,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
45,2022-06-12,Sunday,6.0,Q2,2022,SPV-008,Near Miss,1,0,0,0,0,0,0,28,330.7,Penggantian APD,Dalam Proses,ROM (R-Blok02,Menunggu spare part,0,0.0,0.0,0.0,6.0,-0.7818314824680299,0.6234898018587334,1.2246467991473532e-16,-1.0,11.810714285714285,0,1,1,1,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False
46,2022-04-23,Saturday,4.0,Q2,2022,SPV-010,Property Damage,0,0,0,0,0,0,1,28,310.4,Perbaikan Alat,Selesai,Worksh-Blok02,,0,0.0,0.0,0.0,5.0,-0.9749279121818236,-0.2225209339563146,0.8660254037844387,-0.4999999999999998,11.085714285714285,1,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
47,2024-05-02,Thursday,5.0,Q2,2024,SPV-001,First Aid,0,1,0,0,0,0,0,28,292.0,Pelatihan Ulang,Belum Dimulai,Pit-C-Blok02,Perlu tindak lanjut,1,3424.6575342465753,0.0,0.0,3.0,0.43388373911755823,-0.900968867902419,0.49999999999999994,-0.8660254037844387,10.428571428571429,0,1,1,1,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False
48,2022-07-13,Wednesday,7.0,Q3,2022,SPV-005,First Aid,0,1,0,0,0,0,0,35,389.0,Investigasi Lanjut,Selesai,Draina-Blok04,Investigasi selesai,1,2570.694087403599,0.0,0.0,2.0,0.9749279121818236,-0.22252093395631434,-0.4999999999999997,-0.8660254037844388,11.114285714285714,0,0,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
49,2023-09-30,Saturday,9.0,Q3,2023,SPV-002,First Aid,0,1,0,0,0,0,0,12,139.0,Perbaikan Desain,Selesai,Pit-A-Blok02,Perlu tindak lanjut,1,7194.244604316546,0.0,0.0,5.0,-0.9749279121818236,-0.2225209339563146,-1.0,-1.8369701987210297e-16,11.583333333333334,0,0,0,0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
50,2022-08-11,Thursday,8.0,Q3,2022,SPV-018,Medical Treatment,0,0,1,0,0,0,0,18,178.6,Perbaikan Desain,Selesai,Pit-C-Blok01,Sudah dilaporkan ke HSE Manager,1,5599.1041433370665,0.0,0.0,3.0,0.43388373911755823,-0.900968867902419,-0.8660254037844385,-0.5000000000000004,9.922222222222222,0,1,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False
51,2022-08-22,Monday,8.0,Q3,2022,SPV-001,First Aid,0,1,0,0,0,0,0,41,447.6,Penggantian APD,Belum Dimulai,Worksh-Blok02,,1,2234.1376228775694,0.0,0.0,0.0,0.0,1.0,-0.8660254037844385,-0.5000000000000004,10.917073170731708,0,1,0,0,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
52,2022-05-01,Sunday,5.0,Q2,2022,SPV-009,Medical Treatment,0,0,1,0,0,0,0,32,327.7,Penggantian APD,Selesai,Office-Blok03,Menunggu spare part,1,3051.5715593530667,0.0,0.0,6.0,-0.7818314824680299,0.6234898018587334,0.49999999999999994,-0.8660254037844387,10.240625,0,0,1,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
53,2024-01-11,Thursday,1.0,Q1,2024,SPV-010,First Aid,0,1,0,0,0,0,0,40,465.4,Pelatihan Ulang,Dalam Proses,Pit-B-Blok01,,1,2148.6892995272883,0.0,0.0,3.0,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,11.635,1,0,0,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
