No,Tanggal,Hari,Bulan,Kuartal,Tahun,Shift,Area_Kerja,Supervisor_ID,Jenis_Pekerjaan,Jenis_Insiden,Near_Miss,First_Aid,Medical_Treatment,LTI,Fatality,Hari_Hilang_Kerja,Property_Damage,Jumlah_Tenaga_Kerja,Jam_Kerja,Kondisi_Cuaca,Penyebab_Utama,Tindakan_Korektif,Status_Tindakan,Lokasi_Spesifik,Catatan
19,2023-01-23,Monday,1,Q1,2023,Shift 1 (07:00-19:00),Pit-C (Hauling),SPV-010,Blasting,Near Miss,1,0,0,0,0,0,0,30,316.7,Cerah,Prosedur Tidak Diikuti,Investigasi Lanjut,Selesai,Pit-C-Blok01,Perlu tindak lanjut
20,2022-12-24,Saturday,12,Q4,2022,Shift 1 (07:00-19:00),Pit-A (Overburden),SPV-019,Blasting,Near Miss,1,0,0,0,0,0,0,40,447.8,Berawan,Human Error,Perbaikan Alat,Selesai,Pit-A-Blok05,
21,2024-08-26,Monday,8,Q3,2024,Shift 2 (19:00-07:00),ROM (Run of Mine),SPV-017,Blasting,First Aid,0,1,0,0,0,0,0,29,365.5,Cerah,Housekeeping Buruk,Perbaikan Alat,Dalam Proses,ROM (R-Blok04,
22,2022-07-17,Sunday,7,Q3,2022,Shift 1 (07:00-19:00),Drainase,SPV-012,Loading,Near Miss,1,0,0,0,0,0,0,9,113.1,Hujan Ringan,Peralatan Rusak,Briefing Safety,Selesai,Draina-Blok05,Investigasi selesai
23,2024-01-29,Monday,1,Q1,2024,Shift 1 (07:00-19:00),Pit-A (Overburden),SPV-006,Administrasi,Near Miss,1,0,0,0,0,0,0,35,358.6,Berkabut,Faktor Eksternal,Investigasi Lanjut,Selesai,Pit-A-Blok05,
24,2023-05-27,Saturday,5,Q2,2023,Shift 2 (19:00-07:00),Pit-C (Hauling),SPV-016,Drilling,Near Miss,1,0,0,0,0,0,0,25,260,Berkabut,Alat Pelindung Diri Tidak Sesuai,Perbaikan Desain,Selesai,Pit-C-Blok04,Menunggu spare part
25,2023-10-05,Thursday,10,Q4,2023,Shift 1 (07:00-19:00),Pit-C (Hauling),SPV-005,Administrasi,First Aid,0,1,0,0,0,0,0,33,367.9,Berawan,Alat Pelindung Diri Tidak Sesuai,Penggantian APD,Selesai,Pit-C-Blok02,
26,2023-11-27,Monday,11,Q4,2023,Shift 2 (19:00-07:00),Workshop,SPV-008,Maintenance,Near Miss,1,0,0,0,0,0,0,8,103.5,Berawan,Alat Pelindung Diri Tidak Sesuai,Perbaikan Alat,Selesai,Worksh-Blok03,Investigasi selesai
27,2022-04-08,Friday,4,Q2,2022,Shift 2 (19:00-07:00),Workshop,SPV-005,Survei,Near Miss,1,0,0,0,0,0,0,9,92.8,Hujan Ringan,Peralatan Rusak,Revisi Prosedur,Belum Dimulai,Worksh-Blok04,
28,2024-06-28,Friday,6,Q2,2024,Shift 2 (19:00-07:00),Pit-A (Overburden),SPV-019,Pengawasan,First Aid,0,1,0,0,0,0,0,36,385.1,Berawan,Kondisi Cuaca Buruk,Penggantian APD,Overdue,Pit-A-Blok02,Menunggu spare part
29,2022-06-03,Friday,6,Q2,2022,Shift 2 (19:00-07:00),Office Area,SPV-011,Fueling,Near Miss,1,0,0,0,0,0,0,11,116.1,Hujan Ringan,Kelelahan Pekerja,Pelatihan Ulang,Selesai,Office-Blok03,
30,2023-03-10,Friday,3,Q1,2023,Shift 2 (19:00-07:00),Pit-B (Coal Getting),SPV-019,Maintenance,First Aid,0,1,0,0,0,0,0,14,164.7,Berkabut,Kondisi Cuaca Buruk,Perbaikan Alat,Selesai,Pit-B-Blok04,
31,2024-11-11,Monday,11,Q4,2024,Shift 1 (07:00-19:00),Pit-B (Coal Getting),SPV-015,Administrasi,Near Miss,1,0,0,0,0,0,0,27,324.7,Berkabut,Kondisi Cuaca Buruk,Penggantian APD,Selesai,Pit-B-Blok02,
32,2024-04-22,Monday,4,Q2,2024,Shift 2 (19:00-07:00),Drainase,SPV-011,Survei,First Aid,0,1,0,0,0,0,0,29,309,Hujan Ringan,Komunikasi Buruk,Perbaikan Alat,Selesai,Draina-Blok01,
33,2022-12-28,Wednesday,12,Q4,2022,Shift 1 (07:00-19:00),Pit-C (Hauling),SPV-002,Hauling,First Aid,0,1,0,0,0,0,0,28,351.8,Berkabut,Housekeeping Buruk,Investigasi Lanjut,Dalam Proses,Pit-C-Blok01,Sudah dilaporkan ke HSE Manager
34,2024-12-09,Monday,12,Q4,2024,Shift 2 (19:00-07:00),Stockpile,SPV-017,Survei,Near Miss,1,0,0,0,0,0,0,13,156.8,Cerah,Kondisi Cuaca Buruk,Investigasi Lanjut,Dalam Proses,Stockp-Blok04,Perlu tindak lanjut
35,2024-03-16,Saturday,3,Q1,2024,Shift 1 (07:00-19:00),Pit-B (Coal Getting),SPV-009,Hauling,Near Miss,1,0,0,0,0,0,0,28,292.7,Berawan,Peralatan Rusak,Perbaikan Alat,Selesai,Pit-B-Blok05,
36,2024-10-23,Wednesday,10,Q4,2024,Shift 2 (19:00-07:00),Pit-A (Overburden),SPV-006,Loading,Lost Time Injury,0,0,0,1,0,10,0,14,156.2,Berkabut,Alat Pelindung Diri Tidak Sesuai,Penggantian APD,Selesai,Pit-A-Blok03,
37,2024-01-22,Monday,1,Q1,2024,Shift 2 (19:00-07:00),Pit-A (Overburden),SPV-018,Administrasi,Near Miss,1,0,0,0,0,0,0,41,525.2,Cerah,Prosedur Tidak Diikuti,Perbaikan Desain,Selesai,Pit-A-Blok05,Sudah dilaporkan ke HSE Manager
38,2022-07-28,Thursday,7,Q3,2022,Shift 1 (07:00-19:00),Pit-C (Hauling),SPV-003,Drilling,Near Miss,1,0,0,0,0,0,0,19,196.3,Cerah,Alat Pelindung Diri Tidak Sesuai,Briefing Safety,Selesai,Pit-C-Blok04,
39,2023-03-16,Thursday,3,Q1,2023,Shift 1 (07:00-19:00),ROM (Run of Mine),SPV-015,Administrasi,Near Miss,1,0,0,0,0,0,0,19,238.1,Hujan Ringan,Human Error,Revisi Prosedur,Selesai,ROM (R-Blok04,Sudah dilaporkan ke HSE Manager
40,2022-05-28,Saturday,5,Q2,2022,Shift 2 (19:00-07:00),Office Area,SPV-007,Survei,Near Miss,1,0,0,0,0,0,0,35,352.9,Berawan,Prosedur Tidak Diikuti,Perbaikan Desain,Selesai,Office-Blok03,
41,2022-05-15,Sunday,5,Q2,2022,Shift 1 (07:00-19:00),ROM (Run of Mine),SPV-003,Survei,First Aid,0,1,0,0,0,0,0,15,178.3,Berawan,Peralatan Rusak,Briefing Safety,Dalam Proses,ROM (R-Blok01,Sudah dilaporkan ke HSE Manager
42,2024-04-08,Monday,4,Q2,2024,Shift 2 (19:00-07:00),ROM (Run of Mine),SPV-001,Maintenance,Near Miss,1,0,0,0,0,0,0,16,208.7,Berawan,Prosedur Tidak Diikuti,Pelatihan Ulang,Selesai,ROM (R-Blok04,
43,2022-07-02,Saturday,7,Q3,2022,Shift 2 (19:00-07:00),Pit-B (Coal Getting),SPV-004,Drilling,Lost Time Injury,0,0,0,1,0,6,0,22,250.8,Berawan,Desain/Engineering,Perbaikan Desain,Belum Dimulai,Pit-B-Blok01,
44,2024-09-13,Friday,9,Q3,2024,Shift 1 (07:00-19:00),Drainase,SPV-020,Fueling,Near Miss,1,0,0,0,0,0,0,23,236.9,Hujan Ringan,Faktor Eksternal,Briefing Safety,Dalam Proses,Draina-Blok01,Sudah dilaporkan ke HSE Manager
45,2022-06-12,Sunday,6,Q2,2022,Shift 2 (19:00-07:00),ROM (Run of Mine),SPV-008,Grading,Near Miss,1,0,0,0,0,0,0,28,330.7,Hujan Lebat,Prosedur Tidak Diikuti,Penggantian APD,Dalam Proses,ROM (R-Blok02,Menunggu spare part
46,2022-04-23,Saturday,4,Q2,2022,Shift 1 (07:00-19:00),Workshop,SPV-010,Hauling,Property Damage,0,0,0,0,0,0,1,28,310.4,Hujan Ringan,Peralatan Rusak,Perbaikan Alat,Selesai,Worksh-Blok02,
47,2024-05-02,Thursday,5,Q2,2024,Shift 2 (19:00-07:00),Pit-C (Hauling),SPV-001,Blasting,First Aid,0,1,0,0,0,0,0,28,292,Berkabut,Housekeeping Buruk,Pelatihan Ulang,Belum Dimulai,Pit-C-Blok02,Perlu tindak lanjut
48,2022-07-13,Wednesday,7,Q3,2022,Shift 1 (07:00-19:00),Drainase,SPV-005,Blasting,First Aid,0,1,0,0,0,0,0,35,389,Cerah,Faktor Eksternal,Investigasi Lanjut,Selesai,Draina-Blok04,Investigasi selesai
49,2023-09-30,Saturday,9,Q3,2023,Shift 1 (07:00-19:00),Pit-A (Overburden),SPV-002,Dozing,First Aid,0,1,0,0,0,0,0,12,139,Berawan,Human Error,Perbaikan Desain,Selesai,Pit-A-Blok02,Perlu tindak lanjut
50,2022-08-11,Thursday,8,Q3,2022,Shift 2 (19:00-07:00),Pit-C (Hauling),SPV-018,Hauling,Medical Treatment,0,0,1,0,0,0,0,18,178.6,Hujan Lebat,Peralatan Rusak,Perbaikan Desain,Selesai,Pit-C-Blok01,Sudah dilaporkan ke HSE Manager
51,2022-08-22,Monday,8,Q3,2022,Shift 1 (07:00-19:00),Workshop,SPV-001,Fueling,First Aid,0,1,0,0,0,0,0,41,447.6,Hujan Lebat,Housekeeping Buruk,Penggantian APD,Belum Dimulai,Worksh-Blok02,
52,2022-05-01,Sunday,5,Q2,2022,Shift 2 (19:00-07:00),Office Area,SPV-009,Pengawasan,Medical Treatment,0,0,1,0,0,0,0,32,327.7,Berawan,Desain/Engineering,Penggantian APD,Selesai,Office-Blok03,Menunggu spare part
53,2024-01-11,Thursday,1,Q1,2024,Shift 1 (07:00-19:00),Pit-B (Coal Getting),SPV-010,Drilling,First Aid,0,1,0,0,0,0,0,40,465.4,Cerah,Human Error,Pelatihan Ulang,Dalam Proses,Pit-B-Blok01,
54,2024-06-05,Wednesday,6,Q2,2024,Shift 2 (19:00-07:00),Pit-B (Coal Getting),SPV-011,Administrasi,Medical Treatment,0,0,1,0,0,0,0,31,339.2,Berkabut,Alat Pelindung Diri Tidak Sesuai,Penggantian APD,Overdue,Pit-B-Blok03,
55,2023-07-19,Wednesday,7,Q3,2023,Shift 1 (07:00-19:00),Drainase,SPV-006,Hauling,Medical Treatment,0,0,1,0,0,0,0,22,226.5,Hujan Ringan,Peralatan Rusak,Briefing Safety,Selesai,Draina-Blok03,
56,2024-12-31,Tuesday,12,Q4,2024,Shift 2 (19:00-07:00),Pit-B (Coal Getting),SPV-020,Blasting,First Aid,0,1,0,0,0,0,0,9,111.7,Cerah,Housekeeping Buruk,Revisi Prosedur,Belum Dimulai,Pit-B-Blok01,
57,2022-07-16,Saturday,7,Q3,2022,Shift 1 (07:00-19:00),Pit-C (Hauling),SPV-001,Dozing,Medical Treatment,0,0,1,0,0,0,0,35,460.2,Berawan,Prosedur Tidak Diikuti,Investigasi Lanjut,Selesai,Pit-C-Blok02,Menunggu spare part
58,2024-11-06,Wednesday,11,Q4,2024,Shift 1 (07:00-19:00),Stockpile,SPV-013,Survei,Near Miss,1,0,0,0,0,0,0,8,103.3,Berkabut,Housekeeping Buruk,Penggantian APD,Selesai,Stockp-Blok01,Menunggu spare part
59,2022-09-05,Monday,9,Q3,2022,Shift 1 (07:00-19:00),Office Area,SPV-013,Administrasi,Property Damage,0,0,0,0,0,0,1,31,404.2,Berawan,Desain/Engineering,Investigasi Lanjut,Dalam Proses,Office-Blok02,
60,2023-02-12,Sunday,2,Q1,2023,Shift 1 (07:00-19:00),Office Area,SPV-016,Grading,First Aid,0,1,0,0,0,0,0,31,369.1,Hujan Ringan,Alat Pelindung Diri Tidak Sesuai,Revisi Prosedur,Selesai,Office-Blok04,Perlu tindak lanjut
61,2024-03-05,Tuesday,3,Q1,2024,Shift 2 (19:00-07:00),ROM (Run of Mine),SPV-016,Loading,Near Miss,1,0,0,0,0,0,0,23,263.9,Berawan,Kelelahan Pekerja,Perbaikan Desain,Selesai,ROM (R-Blok02,Sudah dilaporkan ke HSE Manager
62,2023-01-24,Tuesday,1,Q1,2023,Shift 1 (07:00-19:00),Drainase,SPV-009,Loading,Medical Treatment,0,0,1,0,0,0,0,21,257.2,Cerah,Kelelahan Pekerja,Revisi Prosedur,Dalam Proses,Draina-Blok03,Investigasi selesai
63,2022-03-21,Monday,3,Q1,2022,Shift 1 (07:00-19:00),Pit-A (Overburden),SPV-015,Hauling,First Aid,0,1,0,0,0,0,0,16,187,Cerah,Komunikasi Buruk,Perbaikan Alat,Dalam Proses,Pit-A-Blok04,Investigasi selesai
64,2023-04-07,Friday,4,Q2,2023,Shift 1 (07:00-19:00),Pit-A (Overburden),SPV-011,Fueling,First Aid,0,1,0,0,0,0,0,41,525.5,Cerah,Desain/Engineering,Perbaikan Desain,Selesai,Pit-A-Blok03,Perlu tindak lanjut
65,2022-09-23,Friday,9,Q3,2022,Shift 1 (07:00-19:00),ROM (Run of Mine),SPV-006,Loading,Near Miss,1,0,0,0,0,0,0,40,493,Hujan Ringan,Komunikasi Buruk,Investigasi Lanjut,Overdue,ROM (R-Blok02,
66,2024-11-17,Sunday,11,Q4,2024,Shift 1 (07:00-19:00),Pit-B (Coal Getting),SPV-004,Fueling,Near Miss,1,0,0,0,0,0,0,23,291.8,Hujan Ringan,Desain/Engineering,Perbaikan Desain,Dalam Proses,Pit-B-Blok02,Perlu tindak lanjut
67,2023-05-10,Wednesday,5,Q2,2023,Shift 2 (19:00-07:00),Pit-B (Coal Getting),SPV-018,Administrasi,Near Miss,1,0,0,0,0,0,0,19,197.8,Berkabut,Komunikasi Buruk,Penggantian APD,Selesai,Pit-B-Blok02,
68,2023-04-22,Saturday,4,Q2,2023,Shift 2 (19:00-07:00),Pit-C (Hauling),SPV-001,Survei,Medical Treatment,0,0,1,0,0,0,0,20,218.9,Cerah,Kondisi Cuaca Buruk,Investigasi Lanjut,Belum Dimulai,Pit-C-Blok04,
69,2022-09-22,Thursday,9,Q3,2022,Shift 2 (19:00-07:00),Workshop,SPV-014,Dozing,Near Miss,1,0,0,0,0,0,0,21,233.5,Berawan,Desain/Engineering,Investigasi Lanjut,Belum Dimulai,Worksh-Blok05,
70,2023-12-01,Friday,12,Q4,2023,Shift 2 (19:00-07:00),Stockpile,SPV-013,Grading,Near Miss,1,0,0,0,0,0,0,19,233.7,Cerah,Desain/Engineering,Penggantian APD,Selesai,Stockp-Blok04,Menunggu spare part
71,2022-09-07,Wednesday,9,Q3,2022,Shift 2 (19:00-07:00),ROM (Run of Mine),SPV-008,Grading,Near Miss,1,0,0,0,0,0,0,45,532.2,Hujan Ringan,Prosedur Tidak Diikuti,Penggantian APD,Overdue,ROM (R-Blok05,Sudah dilaporkan ke HSE Manager
72,2022-01-15,Saturday,1,Q1,2022,Shift 2 (19:00-07:00),Pit-A (Overburden),SPV-015,Blasting,Property Damage,0,0,0,0,0,0,1,40,456.5,Hujan Ringan,Alat Pelindung Diri Tidak Sesuai,Perbaikan Desain,Selesai,Pit-A-Blok04,Menunggu spare part
73,2024-04-25,Thursday,4,Q2,2024,Shift 2 (19:00-07:00),ROM (Run of Mine),SPV-003,Blasting,Near Miss,1,0,0,0,0,0,0,40,503.9,Berawan,Faktor Eksternal,Briefing Safety,Belum Dimulai,ROM (R-Blok03,Investigasi selesai
74,2024-12-30,Monday,12,Q4,2024,Shift 1 (07:00-19:00),Pit-B (Coal Getting),SPV-013,,Medical Treatment,0,0,1,0,0,0,0,14,159.6,Berkabut,Faktor Eksternal,Briefing Safety,Selesai,Pit-B-Blok02,Menunggu spare part
75,2022-07-05,Tuesday,7,Q3,2022,Shift 2 (19:00-07:00),Pit-C (Hauling),SPV-007,Pengawasan,Near Miss,1,0,0,0,0,0,0,33,323,Berawan,Komunikasi Buruk,Pelatihan Ulang,Selesai,Pit-C-Blok02,
76,2023-09-23,Saturday,9,Q3,2023,Shift 2 (19:00-07:00),Office Area,SPV-010,Loading,Medical Treatment,0,0,1,0,0,0,0,19,222.2,Berawan,Human Error,Investigasi Lanjut,Selesai,Office-Blok05,
77,2022-03-24,Thursday,3,Q1,2022,Shift 2 (19:00-07:00),Drainase,SPV-002,Grading,Medical Treatment,0,0,1,0,0,0,0,23,278.9,Cerah,Komunikasi Buruk,Perbaikan Desain,Belum Dimulai,Draina-Blok04,
78,2024-01-29,Monday,1,Q1,2024,Shift 1 (07:00-19:00),Office Area,SPV-018,Administrasi,Near Miss,1,0,0,0,0,0,0,8,79.6,Berawan,Kondisi Cuaca Buruk,Perbaikan Alat,Belum Dimulai,Office-Blok01,Menunggu spare part
79,2023-12-23,Saturday,12,Q4,2023,Shift 2 (19:00-07:00),Drainase,SPV-003,Grading,Near Miss,1,0,0,0,0,0,0,42,531.6,Berawan,Kelelahan Pekerja,Perbaikan Desain,Selesai,Draina-Blok01,Investigasi selesai
80,2022-08-01,Monday,8,Q3,2022,Shift 2 (19:00-07:00),Pit-A (Overburden),SPV-008,Dozing,First Aid,0,1,0,0,0,0,0,25,276.4,Cerah,Prosedur Tidak Diikuti,Perbaikan Alat,Belum Dimulai,Pit-A-Blok04,
81,2023-02-09,Thursday,2,Q1,2023,Shift 2 (19:00-07:00),Pit-B (Coal Getting),SPV-014,Fueling,Medical Treatment,0,0,1,0,0,0,0,13,146.9,Cerah,Kondisi Cuaca Buruk,Penggantian APD,Overdue,Pit-B-Blok05,
82,2024-10-04,Friday,10,Q4,2024,Shift 2 (19:00-07:00),ROM (Run of Mine),SPV-014,Pumping,Medical Treatment,0,0,1,0,0,0,0,37,427.7,Cerah,Prosedur Tidak Diikuti,Penggantian APD,Selesai,ROM (R-Blok01,Sudah dilaporkan ke HSE Manager
83,2022-02-13,Sunday,2,Q1,2022,Shift 2 (19:00-07:00),Pit-C (Hauling),SPV-006,Survei,First Aid,0,1,0,0,0,0,0,34,427.8,Cerah,Kelelahan Pekerja,Perbaikan Desain,Selesai,Pit-C-Blok04,
84,2024-06-14,Friday,6,Q2,2024,Shift 2 (19:00-07:00),Pit-C (Hauling),SPV-011,Loading,Near Miss,1,0,0,0,0,0,0,22,286,Berawan,Kondisi Cuaca Buruk,Investigasi Lanjut,Belum Dimulai,Pit-C-Blok05,Investigasi selesai
85,2024-11-02,Saturday,11,Q4,2024,Shift 1 (07:00-19:00),Stockpile,SPV-008,Drilling,First Aid,0,1,0,0,0,0,0,40,479.1,Cerah,Komunikasi Buruk,Penggantian APD,Selesai,Stockp-Blok03,
86,2024-07-06,Saturday,7,Q3,2024,Shift 1 (07:00-19:00),Workshop,SPV-012,Blasting,Near Miss,1,0,0,0,0,0,0,33,421.7,Cerah,Alat Pelindung Diri Tidak Sesuai,Investigasi Lanjut,Overdue,Worksh-Blok04,
87,2023-08-14,Monday,8,Q3,2023,Shift 2 (19:00-07:00),Pit-C (Hauling),SPV-016,Hauling,Lost Time Injury,0,0,0,1,0,8,0,44,567.1,Cerah,Alat Pelindung Diri Tidak Sesuai,Penggantian APD,Selesai,Pit-C-Blok02,Sudah dilaporkan ke HSE Manager
88,2023-07-07,Friday,7,Q3,2023,Shift 2 (19:00-07:00),Pit-C (Hauling),SPV-011,Drilling,Medical Treatment,0,0,1,0,0,0,0,13,153.1,Cerah,Human Error,Perbaikan Desain,Selesai,Pit-C-Blok05,
89,2022-07-23,Saturday,7,Q3,2022,Shift 1 (07:00-19:00),Pit-A (Overburden),SPV-017,Blasting,Near Miss,1,0,0,0,0,0,0,38,468.9,Berawan,Prosedur Tidak Diikuti,Investigasi Lanjut,Selesai,Pit-A-Blok04,Investigasi selesai
90,2023-03-30,Thursday,3,Q1,2023,Shift 2 (19:00-07:00),Pit-A (Overburden),SPV-014,Grading,Near Miss,1,0,0,0,0,0,0,34,375.8,Cerah,Kelelahan Pekerja,Briefing Safety,Selesai,Pit-A-Blok01,
91,2024-02-07,Wednesday,2,Q1,2024,Shift 1 (07:00-19:00),ROM (Run of Mine),SPV-017,Pumping,Near Miss,1,0,0,0,0,0,0,25,280.6,,Kondisi Cuaca Buruk,Penggantian APD,Belum Dimulai,ROM (R-Blok01,Perlu tindak lanjut
92,2023-05-21,Sunday,5,Q2,2023,Shift 1 (07:00-19:00),Pit-C (Hauling),SPV-007,Pumping,Medical Treatment,0,0,1,0,0,0,0,9,111,Cerah,Prosedur Tidak Diikuti,Investigasi Lanjut,Selesai,Pit-C-Blok05,Perlu tindak lanjut
93,2023-01-06,Friday,1,Q1,2023,Shift 2 (19:00-07:00),Workshop,SPV-014,Grading,Property Damage,0,0,0,0,0,0,1,37,466.9,Berawan,Desain/Engineering,Pelatihan Ulang,Overdue,Worksh-Blok01,
94,2024-12-18,Wednesday,12,Q4,2024,Shift 2 (19:00-07:00),Pit-C (Hauling),SPV-004,Hauling,First Aid,0,1,0,0,0,0,0,33,408.7,Cerah,Alat Pelindung Diri Tidak Sesuai,Perbaikan Alat,Selesai,Pit-C-Blok02,
95,2024-09-25,Wednesday,9,Q3,2024,Shift 2 (19:00-07:00),ROM (Run of Mine),SPV-011,Fueling,Near Miss,1,0,0,0,0,0,0,34,386.6,Cerah,Prosedur Tidak Diikuti,Revisi Prosedur,Dalam Proses,ROM (R-Blok03,
96,2022-12-18,Sunday,12,Q4,2022,Shift 1 (07:00-19:00),Pit-B (Coal Getting),SPV-018,Drilling,Lost Time Injury,0,0,0,1,0,10,0,31,361.1,Cerah,Alat Pelindung Diri Tidak Sesuai,Briefing Safety,Selesai,Pit-B-Blok03,
97,2022-07-09,Saturday,7,Q3,2022,Shift 2 (19:00-07:00),Pit-B (Coal Getting),SPV-015,Administrasi,Near Miss,1,0,0,0,0,0,0,21,277,Hujan Ringan,Kelelahan Pekerja,Penggantian APD,Overdue,Pit-B-Blok01,Menunggu spare part
98,2022-04-04,Monday,4,Q2,2022,Shift 2 (19:00-07:00),ROM (Run of Mine),SPV-015,Pumping,First Aid,0,1,0,0,0,0,0,38,498.3,Cerah,Faktor Eksternal,Penggantian APD,Selesai,ROM (R-Blok03,Investigasi selesai
99,2022-10-05,Wednesday,10,Q4,2022,Shift 2 (19:00-07:00),Pit-A (Overburden),SPV-006,Drilling,Near Miss,1,0,0,0,0,0,0,38,481.4,Cerah,Komunikasi Buruk,Penggantian APD,Selesai,Pit-A-Blok02,Investigasi selesai
100,2022-03-15,Tuesday,3,Q1,2022,Shift 1 (07:00-19:00),Office Area,SPV-009,Administrasi,First Aid,0,1,0,0,0,0,0,8,78.9,Hujan Lebat,Kelelahan Pekerja,Penggantian APD,Dalam Proses,Office-Blok05,
